2026-09-21 16:39:51,026 [INFO] Iniciando varredura recursiva em: C:\Users\heuder.sena\Downloads
2026-09-21 16:39:51,065 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\formulario_1b43b259.html
2026-09-21 16:39:51,065 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\index_6ba1edf8.html
2026-09-21 16:39:51,066 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\inscricao_de76c172.html
2026-09-21 16:39:51,066 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\pagina_c1e0b008.html
2026-09-21 16:39:51,066 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\relatorios_8be288a3.html
2026-09-21 16:39:51,066 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\representantes_accf4c72.html
2026-09-21 16:39:51,066 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\vagas_da3a56d5.html
2026-09-21 16:39:51,068 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\css_8df0de57
2026-09-21 16:39:51,069 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\js_663f89b7
2026-09-21 16:39:51,069 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7\pages_4e6adbdd
2026-09-21 16:39:51,070 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\iniciar_ca1537e4.bat
2026-09-21 16:39:51,070 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\readme_fde8fd0f.md
2026-09-21 16:39:51,070 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\requirements_f51c1875.txt
2026-09-21 16:39:51,070 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb
2026-09-21 16:39:51,071 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\data_6a04f49d
2026-09-21 16:39:51,071 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\docs_ed9e2dc5
2026-09-21 16:39:51,071 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\frontend_6d0fd4a7
2026-09-21 16:39:51,072 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1000795530_1_fc21d4a8.pdf
2026-09-21 16:39:51,072 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1000795530_8bec9b14.pdf
2026-09-21 16:39:51,073 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1000795530_e4c533c6.jpg
2026-09-21 16:39:51,073 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1787660738_455c2825.png
2026-09-21 16:39:51,073 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1b47eb1a-fe48-4567-886e-4d595a0d1e93__20260917131229__ranking_mmp_09_09_2026_teste_913ec519.xlsx
2026-09-21 16:39:51,077 [INFO] Renomeado arquivo: 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1b47eb1a-fe48-4567-886e-4d595a0d1e93__20260921122909__Ranking Sprint MMP 19-09-2026.xlsx' -> 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1b47eb1a_fe48_4567_886e_4d595a0d1e93_20260921122909_ranking_sprint_mmp_19_09_2026_acf5e67e.xlsx'
2026-09-21 16:39:51,078 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1b47eb1a_fe48_4567_886e_4d595a0d1e93_20260917124927_sn_vende_sicoob_2025_parte_do_usurio_v1_2_df9322c4.pdf
2026-09-21 16:39:51,078 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\1_2_for_24327493.pdf
2026-09-21 16:39:51,082 [INFO] Renomeado arquivo: 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\20260919_142622_aff11d83_WhatsApp_Image_2026-07-18_at_15.07.19.jpeg' -> 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\20260919_142622_aff11d83_whatsapp_image_2026_07_18_at_15_07_19_5efe1de0.jpeg'
2026-09-21 16:39:51,082 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\235841ae-dcdb-47af-8e3b-bea67d0773b6__20260917161603__quinto_premio_rural_cc203cb7.pdf
2026-09-21 16:39:51,082 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\6_pprs_cronograma_a9fc840c.pdf
2026-09-21 16:39:51,083 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\6_pprs_cronograma_a9fc840c_1_b89656e1.pdf
2026-09-21 16:39:51,083 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\6_premioprodutorruralsustentavel_apresentacao_4b5a96b5.pdf
2026-09-21 16:39:51,083 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\6_premioprodutorruralsustentavel_apresentacao_4b5a96b5_1_bcacb39e.pdf
2026-09-21 16:39:51,084 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\a1c675dc-28d2-4d2a-96f6-acfdac8a1c81__20260915092722__guia_de_reguas_de_relacionamento_setembro_anexo_ii_f4c5bbf6.pdf
2026-09-21 16:39:51,084 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\a1c675dc-28d2-4d2a-96f6-acfdac8a1c81__20260915172143__regulamento_sprint_missao_mq_possivel_sipag2026_1_aed73768.pdf
2026-09-21 16:39:51,084 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\a1c675dc-28d2-4d2a-96f6-acfdac8a1c81__20260915181230__regulamento_sprint_missao_mq_possivel_sipag2026_1_aed73768.pdf
2026-09-21 16:39:51,085 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\a1c675dc-28d2-4d2a-96f6-acfdac8a1c81__20260915183513__regulamento_sprint_missao_mq_possivel_sipag2026_1_aed73768.pdf
2026-09-21 16:39:51,085 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_1003_2026_09_14_085903_9398a4de.xlsx
2026-09-21 16:39:51,085 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_1003_2026_09_18_092420_721a8694.xlsx
2026-09-21 16:39:51,086 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_1003_singular_3137_2026_09_14_085725_6d6b087e.xlsx
2026-09-21 16:39:51,086 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_1004_singular_3233_2026_09_11_174258_bf4fff47.xlsx
2026-09-21 16:39:51,086 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_2005_2026_09_11_170505_1be80652.xlsx
2026-09-21 16:39:51,086 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_2005_singular_4321_2026_09_11_170527_786ddf03.xlsx
2026-09-21 16:39:51,087 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_2007_singular_3358_2026_09_14_095540_0a21add1.xlsx
2026-09-21 16:39:51,087 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_maisqpossivel_central_2007_singular_4437_2026_09_17_171938_c3436a00.xlsx
2026-09-21 16:39:51,087 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_mmp_09_09_2026_2208ca6e.csv
2026-09-21 16:39:51,088 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_mmp_09_09_2026_8fdb5be4.csv
2026-09-21 16:39:51,088 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\analitico_mmp_09_09_2026_a19d0a79.xlsx
2026-09-21 16:39:51,090 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\boleto0837039_14030010000265907_0d6fc369.pdf
2026-09-21 16:39:51,091 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\boleto_06_08_2026_1_450e60c5.pdf
2026-09-21 16:39:51,091 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\boleto_06_08_2026_b83569e1.pdf
2026-09-21 16:39:51,092 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\boleto_30_07_2026_82fb2c06.pdf
2026-09-21 16:39:51,092 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\campanhamaisqpossivelmodel_f061f904.php
2026-09-21 16:39:51,095 [INFO] Renomeado arquivo: 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\CAV - Monitor - Cód. 1304.09.2026.pdf' -> 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\cav_monitor_cod_1304_09_2026_c71fa12a.pdf'
2026-09-21 16:39:51,095 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\ccs_00702255246_202607_28072026_100113028_115844395_c167d77d.pdf
2026-09-21 16:39:51,097 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\chatgpt_image_25_de_ago_de_2026_09_29_49_b1da4d65.png
2026-09-21 16:39:51,097 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\codeai_setup_078fffb2.exe
2026-09-21 16:39:51,097 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\cpub_explorer_ambiente_gecan_cmsrdsh_59e889b2.rdp
2026-09-21 16:39:51,097 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\deepseek_html_20260911_8a33a0_587d9c85.html
2026-09-21 16:39:51,098 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\default_67d98e9e.conf
